genome_id	phylum	class	order	family	genus	species	sample_site	completeness
ADurb.Bin101	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	CAITNO01	N/A	N/A	Digestor_reactor	81.71
ADurb.Bin170	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	CAITNO01	JAAYJV01	JAAYJV01_sp002070275	Digestor_reactor	97.85
ADurb.Bin179	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiale	CAITNO01	N/A	N/A	Digestor_reactor	42.33
AQYQ01	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	Hydrogenedentaceae	Hydrogenedens	Hydrogenedens_terephthalicus	Wastewater	88.32
DUZM01.1	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	DUZN01	DUZN01	DUZN01_sp013349485	Hypersaline	70.65
DUZN01.1	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	DUZN01	DUZN01	DUZN01_sp013349535	Hypersaline	60.23
MNVL01	UBA8481	UBA8481	UBA8481	UBA8481	UBA8481	UBA8481_sp002780065	Subsurface	95.06
PEWQ01	UBA8481	UBA8481	UBA8481	UBA8481	UBA8481	UBA8481_sp002780065	Subsurface	93.38
SB_MAG71	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	N/A	N/A	N/A	Hypersaline	72.03
SURF_MAG17	Abyssubacteria	SURF-5	SURF-5	SURF-5	SURF-17	SURF-17_sp003598055	Subsurface	90.05
SURF_MAG5	Abyssubacteria	SURF-5	SURF-5	SURF-5	SURF-5	SURF-5_sp003598085	Subsurface	97.74
UBA2224	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	UBA2224	UBA2224_sp002348185	Wastewater	92.12
UBA6118	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	UBA6118	UBA6118_sp002422525	Wastewater	98.9
