user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,red_value,warnings
SB_biofilm_MAG_19,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Euryhalocaulis;s__Euryhalocaulis caribicus,GCF_000412185.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Euryhalocaulis;s__Euryhalocaulis caribicus,96.27,0.92,GCF_000412185.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Euryhalocaulis;s__Euryhalocaulis caribicus,96.27,0.92,ANI/Placement,topological placement and ANI have congruent species assignments,N/A,92.57,N/A,N/A
SB_biofilm_MAG_75,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__UBA4496;s__GCA_001657385.1,GCA_001657385.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__UBA4496;s__,99,0.96,GCA_001657385.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__UBA4496;s__,99,0.96,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_002704915.1, s__, 95.0, 77.3, 0.3",63.2,N/A,N/A
SB_biofilm_MAG_73,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__,GCA_002699585.1,95,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__,75.4,0.06,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,59.94,0.880914969,N/A
SB_biofilm_MAG_17,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__UBA6055;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.4,0.91107424,N/A
SB_biofilm_MAG_54,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Rubidibacter;s__,GCF_000473895.1,95,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Rubidibacter;s__Rubidibacter lacunae,76.65,0.16,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,83.48,0.903471135,N/A
SB_biofilm_MAG_10,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__PCC-6406;s__,GCF_000332095.2,95,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__PCC-6406;s__,76.2,0.1,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,96.6,0.895548997,N/A
SB_biofilm_MAG_34,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudophormidiales;f__Pseudophormidiaceae;g__;s__,GCF_001548395.1,95,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudophormidiales;f__Pseudophormidiaceae;g__O-77;s__,75.97,0.12,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,92.23,0.824870869,N/A
SB_biofilm_MAG_30,d__Bacteria;p__BRC1;c__UBA8349;o__;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,89.67,0.500413834,N/A
SB_biofilm_MAG_15,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__,GCF_000224085.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda ruestringensis,82.8,0.7,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCA_002711825.1, s__, 95.0, 82.28, 0.49; GCF_002813125.1, s__, 95.0, 82.18, 0.67; GCA_002167435.1, s__, 95.0, 82.14, 0.63; GCA_002696215.1, s__, 95.0, 82.06, 0.53; GCF_900106825.1, s__Muricauda zhangzhouensis, 95.0, 79.23, 0.51; GCF_001683915.1, s__, 95.0, 78.98, 0.45; GCF_000745185.1, s__, 95.0, 78.64, 0.43; GCF_900142405.1, s__Muricauda antarctica, 95.0, 78.46, 0.4",92.77,0.988485218,N/A
SB_biofilm_MAG_39,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,94.58,0.753265509,N/A
SB_biofilm_MAG_42,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,90.39,0.752363276,N/A
SB_biofilm_MAG_3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__koll-22;g__UBA1494;s__,GCA_002706365.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__koll-22;g__UBA1494;s__,78.65,0.43,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,99.17,0.959233579,N/A
SB_biofilm_MAG_55,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__,GCF_000724545.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__,75.69,0.06,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,92.27,0.888963827,N/A
SB_biofilm_MAG_46,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__,GCF_000759025.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__Phaeodactylibacter xiamenensis,76.18,0.08,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,92.04,0.904943894,N/A
SB_biofilm_MAG_62,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,82.34,0.822408169,N/A
