Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match	Direction
SB_biofilm_MAG_11_00355	SB_biofilm_MAG_17_04942	E	B	69.792	no	no	NA
SB_biofilm_MAG_11_00566	SB_biofilm_MAG_9_01117	E	K	69.441	no	no	SB_biofilm_MAG_11-->SB_biofilm_MAG_9
SB_biofilm_MAG_11_00720	SB_biofilm_MAG_20_00900	E	N	69.449	no	no	NA
SB_biofilm_MAG_11_03758	SB_biofilm_MAG_17_06994	E	B	71.157	no	no	NA
SB_biofilm_MAG_11_04506	SB_biofilm_MAG_52_02709	E	K	73.628	no	no	SB_biofilm_MAG_11-->SB_biofilm_MAG_52
SB_biofilm_MAG_11_04867	SB_biofilm_MAG_37_00678	E	H	68.966	no	no	NA
SB_biofilm_MAG_12_00060	SB_biofilm_MAG_20_00440	A	N	78.006	no	no	NA
SB_biofilm_MAG_12_00208	SB_biofilm_MAG_38_02283	A	H	71.444	no	no	NA
SB_biofilm_MAG_12_00484	SB_biofilm_MAG_78_01485	A	K	73.712	no	no	NA
SB_biofilm_MAG_12_01746	SB_biofilm_MAG_71_02938	A	F	74.943	no	no	NA
SB_biofilm_MAG_13_00743	SB_biofilm_MAG_71_00025	A	F	74.486	no	no	NA
SB_biofilm_MAG_13_01201	SB_biofilm_MAG_65_02612	A	N	74.521	no	no	NA
SB_biofilm_MAG_13_01244	SB_biofilm_MAG_28_01481	A	L	75.0	no	no	NA
SB_biofilm_MAG_13_01350	SB_biofilm_MAG_28_04064	A	L	73.836	no	no	NA
SB_biofilm_MAG_13_01522	SB_biofilm_MAG_71_01309	A	F	74.162	no	no	NA
SB_biofilm_MAG_13_01531	SB_biofilm_MAG_65_01440	A	N	74.865	no	no	NA
SB_biofilm_MAG_13_01647	SB_biofilm_MAG_20_00440	A	N	77.859	no	no	NA
SB_biofilm_MAG_13_01932	SB_biofilm_MAG_23_03286	A	K	72.988	no	no	NA
SB_biofilm_MAG_13_01988	SB_biofilm_MAG_7_02594	A	I	72.581	no	no	NA
SB_biofilm_MAG_13_02087	SB_biofilm_MAG_53_03183	A	G	77.632	no	no	NA
SB_biofilm_MAG_13_02101	SB_biofilm_MAG_49_02334	A	I	75.467	no	no	NA
SB_biofilm_MAG_13_02116	SB_biofilm_MAG_28_04626	A	L	73.005	no	no	NA
SB_biofilm_MAG_13_02130	SB_biofilm_MAG_71_02094	A	F	76.435	no	no	NA
SB_biofilm_MAG_13_02428	SB_biofilm_MAG_28_06337	A	L	74.074	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_13
SB_biofilm_MAG_13_02580	SB_biofilm_MAG_48_05733	A	M	73.129	no	no	NA
SB_biofilm_MAG_13_02958	SB_biofilm_MAG_65_02222	A	N	73.901	no	no	NA
SB_biofilm_MAG_14_00054	SB_biofilm_MAG_44_02705	E	N	71.635	no	no	SB_biofilm_MAG_44-->SB_biofilm_MAG_14
SB_biofilm_MAG_16_00063	SB_biofilm_MAG_65_01081	A	N	73.699	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_16
SB_biofilm_MAG_16_00125	SB_biofilm_MAG_41_02833	A	N	90.104	no	yes	NA
SB_biofilm_MAG_16_00127	SB_biofilm_MAG_41_02835	A	N	95.223	no	yes	NA
SB_biofilm_MAG_16_00529	SB_biofilm_MAG_20_02854	A	N	74.176	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_16
SB_biofilm_MAG_16_00612	SB_biofilm_MAG_59_04207	A	M	72.901	no	no	NA
SB_biofilm_MAG_16_00991	SB_biofilm_MAG_68_03546	A	N	73.735	no	no	NA
SB_biofilm_MAG_16_01081	SB_biofilm_MAG_53_03183	A	G	78.798	no	no	NA
SB_biofilm_MAG_16_01178	SB_biofilm_MAG_78_01490	A	K	83.763	no	no	NA
SB_biofilm_MAG_16_01179	SB_biofilm_MAG_78_01489	A	K	75.244	no	no	NA
SB_biofilm_MAG_16_01193	SB_biofilm_MAG_59_01491	A	M	80.101	no	no	NA
SB_biofilm_MAG_16_01318	SB_biofilm_MAG_48_02266	A	M	73.511	no	no	NA
SB_biofilm_MAG_16_01322	SB_biofilm_MAG_23_03286	A	K	74.189	no	no	NA
SB_biofilm_MAG_16_01405	SB_biofilm_MAG_66_00910	A	I	76.099	no	no	NA
SB_biofilm_MAG_16_01928	SB_biofilm_MAG_68_00347	A	N	74.384	no	no	NA
SB_biofilm_MAG_16_01959	SB_biofilm_MAG_28_05682	A	L	72.851	no	no	NA
SB_biofilm_MAG_16_02009	SB_biofilm_MAG_53_00491	A	G	75.205	no	no	NA
SB_biofilm_MAG_16_02273	SB_biofilm_MAG_28_03196	A	L	74.191	no	no	NA
SB_biofilm_MAG_16_02285	SB_biofilm_MAG_41_01862	A	N	77.996	no	no	NA
SB_biofilm_MAG_16_02834	SB_biofilm_MAG_18_00646	A	K	75.459	no	no	SB_biofilm_MAG_16-->SB_biofilm_MAG_18
SB_biofilm_MAG_16_02910	SB_biofilm_MAG_78_01485	A	K	74.199	no	no	NA
SB_biofilm_MAG_16_03134	SB_biofilm_MAG_43_03684	A	M	74.648	no	no	NA
